canonical_id,scenario,case_detail,gateway_transaction_id,bank_utr,ledger_invoice_id,expected_relationship,expected_outcome
CAN_00001,clean,,TXN_00001,UTR_42868828,INV_00001,MATCH,AUTO_MATCH
CAN_00002,clean,,TXN_00002,UTR_89254563,INV_00002,MATCH,AUTO_MATCH
CAN_00003,clean,,TXN_00003,UTR_77827638,INV_00003,MATCH,AUTO_MATCH
CAN_00004,clean,,TXN_00004,UTR_39587039,INV_00004,MATCH,AUTO_MATCH
CAN_00005,clean,,TXN_00005,UTR_66722344,INV_00005,MATCH,AUTO_MATCH
CAN_00006,clean,,TXN_00006,UTR_23718431,INV_00006,MATCH,AUTO_MATCH
CAN_00007,clean,,TXN_00007,UTR_91030736,INV_00007,MATCH,AUTO_MATCH
CAN_00008,clean,,TXN_00008,UTR_60806024,INV_00008,MATCH,AUTO_MATCH
CAN_00009,clean,,TXN_00009,UTR_87490893,INV_00009,MATCH,AUTO_MATCH
CAN_00010,clean,,TXN_00010,UTR_48840994,INV_00010,MATCH,AUTO_MATCH
CAN_00011,clean,,TXN_00011,UTR_70855700,INV_00011,MATCH,AUTO_MATCH
CAN_00012,clean,,TXN_00012,UTR_38119557,INV_00012,MATCH,AUTO_MATCH
CAN_00013,clean,,TXN_00013,UTR_91756179,INV_00013,MATCH,AUTO_MATCH
CAN_00014,clean,,TXN_00014,UTR_72043515,INV_00014,MATCH,AUTO_MATCH
CAN_00015,clean,,TXN_00015,UTR_53524491,INV_00015,MATCH,AUTO_MATCH
CAN_00016,clean,,TXN_00016,UTR_18883684,INV_00016,MATCH,AUTO_MATCH
CAN_00017,clean,,TXN_00017,UTR_97971488,INV_00017,MATCH,AUTO_MATCH
CAN_00018,clean,,TXN_00018,UTR_28740864,INV_00018,MATCH,AUTO_MATCH
CAN_00019,clean,,TXN_00019,UTR_88320463,INV_00019,MATCH,AUTO_MATCH
CAN_00020,clean,,TXN_00020,UTR_22201654,INV_00020,MATCH,AUTO_MATCH
CAN_00021,clean,,TXN_00021,UTR_66661351,INV_00021,MATCH,AUTO_MATCH
CAN_00022,clean,,TXN_00022,UTR_81016525,INV_00022,MATCH,AUTO_MATCH
CAN_00023,clean,,TXN_00023,UTR_82070937,INV_00023,MATCH,AUTO_MATCH
CAN_00024,clean,,TXN_00024,UTR_68353204,INV_00024,MATCH,AUTO_MATCH
CAN_00025,clean,,TXN_00025,UTR_77187530,INV_00025,MATCH,AUTO_MATCH
CAN_00026,clean,,TXN_00026,UTR_30513739,INV_00026,MATCH,AUTO_MATCH
CAN_00027,clean,,TXN_00027,UTR_90388981,INV_00027,MATCH,AUTO_MATCH
CAN_00028,clean,,TXN_00028,UTR_42138745,INV_00028,MATCH,AUTO_MATCH
CAN_00029,clean,,TXN_00029,UTR_19289546,INV_00029,MATCH,AUTO_MATCH
CAN_00030,clean,,TXN_00030,UTR_83793389,INV_00030,MATCH,AUTO_MATCH
CAN_00031,clean,,TXN_00031,UTR_82383095,INV_00031,MATCH,AUTO_MATCH
CAN_00032,clean,,TXN_00032,UTR_97225156,INV_00032,MATCH,AUTO_MATCH
CAN_00033,clean,,TXN_00033,UTR_40158366,INV_00033,MATCH,AUTO_MATCH
CAN_00034,clean,,TXN_00034,UTR_88979095,INV_00034,MATCH,AUTO_MATCH
CAN_00035,clean,,TXN_00035,UTR_40728046,INV_00035,MATCH,AUTO_MATCH
CAN_00036,clean,,TXN_00036,UTR_47376585,INV_00036,MATCH,AUTO_MATCH
CAN_00037,clean,,TXN_00037,UTR_42614537,INV_00037,MATCH,AUTO_MATCH
CAN_00038,clean,,TXN_00038,UTR_98447167,INV_00038,MATCH,AUTO_MATCH
CAN_00039,clean,,TXN_00039,UTR_97705310,INV_00039,MATCH,AUTO_MATCH
CAN_00040,clean,,TXN_00040,UTR_24665841,INV_00040,MATCH,AUTO_MATCH
CAN_00041,clean,,TXN_00041,UTR_66623995,INV_00041,MATCH,AUTO_MATCH
CAN_00042,clean,,TXN_00042,UTR_69476001,INV_00042,MATCH,AUTO_MATCH
CAN_00043,clean,,TXN_00043,UTR_22517517,INV_00043,MATCH,AUTO_MATCH
CAN_00044,clean,,TXN_00044,UTR_63826716,INV_00044,MATCH,AUTO_MATCH
CAN_00045,clean,,TXN_00045,UTR_71070189,INV_00045,MATCH,AUTO_MATCH
CAN_00046,clean,,TXN_00046,UTR_30776478,INV_00046,MATCH,AUTO_MATCH
CAN_00047,clean,,TXN_00047,UTR_52091325,INV_00047,MATCH,AUTO_MATCH
CAN_00048,clean,,TXN_00048,UTR_17634247,INV_00048,MATCH,AUTO_MATCH
CAN_00049,clean,,TXN_00049,UTR_41568532,INV_00049,MATCH,AUTO_MATCH
CAN_00050,clean,,TXN_00050,UTR_93131979,INV_00050,MATCH,AUTO_MATCH
CAN_00051,noisy,,TXN_00051,UTR_80166708,INV_00051,MATCH,REVIEW
CAN_00052,noisy,,TXN_00052,UTR_52169044,INV_00052,MATCH,REVIEW
CAN_00053,noisy,,TXN_00053,UTR_96637649,INV_00053,MATCH,REVIEW
CAN_00054,noisy,,TXN_00054,UTR_71510041,INV_00054,MATCH,REVIEW
CAN_00055,noisy,,TXN_00055,UTR_45594597,INV_00055,MATCH,REVIEW
CAN_00056,noisy,,TXN_00056,UTR_59597086,INV_00056,MATCH,REVIEW
CAN_00057,noisy,,TXN_00057,UTR_50603163,INV_00057,MATCH,REVIEW
CAN_00058,noisy,,TXN_00058,UTR_23903144,INV_00058,MATCH,REVIEW
CAN_00059,noisy,,TXN_00059,UTR_84252420,INV_00059,MATCH,REVIEW
CAN_00060,noisy,,TXN_00060,UTR_56020613,INV_00060,MATCH,REVIEW
CAN_00061,noisy,,TXN_00061,UTR_75569635,INV_00061,MATCH,REVIEW
CAN_00062,noisy,,TXN_00062,UTR_66851377,INV_00062,MATCH,REVIEW
CAN_00063,noisy,,TXN_00063,UTR_95511909,INV_00063,MATCH,REVIEW
CAN_00064,noisy,,TXN_00064,UTR_67403166,INV_00064,MATCH,REVIEW
CAN_00065,noisy,,TXN_00065,UTR_83227889,INV_00065,MATCH,REVIEW
CAN_00066,noisy,,TXN_00066,UTR_29876811,INV_00066,MATCH,REVIEW
CAN_00067,noisy,,TXN_00067,UTR_15354599,INV_00067,MATCH,REVIEW
CAN_00068,noisy,,TXN_00068,UTR_23796726,INV_00068,MATCH,REVIEW
